Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto;Valor m2;Tipo Agrupado
Casa comercial;Chorrillos;0;2;0;380;15000.0;;;39.47;Departamento
Casa comercial;Chorrillos;0;0;0;427;10000.0;;2864.0;23.42;Departamento
Casa comercial;La Punta;0;4;0;130;15600.0;2724.0;194.0;120.0;Departamento
Casa comercial;Chorrillos;0;6;0;500;23000.0;450.0;800.0;46.0;Departamento
Casa comercial;Chorrillos;0;0;0;120;4500.0;;761.0;37.5;Departamento
Casa comercial;Ate;0;0;0;341;15000.0;;;43.99;Departamento
Casa comercial;La Punta;0;0;0;175;3800.0;;446.0;21.71;Departamento
Casa comercial;La Perla;1;0;0;15;750.0;;;50.0;Departamento
Casa comercial;Chorrillos;0;1;0;350;18000.0;;2580.0;51.43;Departamento
Casa comercial;Punta Hermosa;0;0;0;215;7900.0;;310.0;36.74;Departamento
Casa comercial;Chorrillos;0;0;0;390;12000.0;;291.0;30.77;Departamento
Casa comercial;Chorrillos;11;4;3;400;8000.0;;2190.0;20.0;Departamento
Casa comercial;Punta Negra;0;0;0;108;3000.0;;;27.78;Departamento
